FID;C_Nus;Coord_X;Coord_Y
0;N00001D;432108.315;4581042.075
1;N00002E;432149.471;4581053.136
2;N00003F;432163.827;4581056.757
3;N00004G;432178.516;4581061.643
4;N00005H;432193.211;4581064.493
5;N00006I;432207.582;4581068.826
6;N00007J;432222.091;4581072.443
7;N00008K;432236.458;4581076.573
8;N00009L;432250.46;4581080.252
9;N00010E;432265.085;4581084.58
10;N00011F;432279.403;4581088.761
11;N00012G;432293.61;4581092.538
12;N00013H;432308.498;4581097.267
13;N00014I;432322.545;4581100.691
14;N00015J;432337.414;4581104.555
15;N00016K;432351.576;4581108.588
16;N00017L;432138.756;4580935.758
17;N00018M;432180.317;4580947.44
18;N00019N;432194.335;4580951.882
19;N00020G;432209.06;4580956.105
20;N00021H;432223.482;4580960.437
21;N00022I;432238.208;4580964.712
22;N00023J;432252.361;4580968.337
23;N00024K;432266.38;4580972.83
24;N00025L;432281.005;4580977.158
25;N00026M;432295.205;4580980.579
26;N00027N;432309.274;4580985.02
27;N00028O;432323.738;4580988.944
28;N00029P;432337.542;4580992.88
29;N00030I;432351.748;4581001.289
30;N00031J;432362.309;4581012.674
31;N00032K;432161.701;4580855.446
32;N00033L;432203.475;4580866.946
33;N00034M;432217.584;4580870.928
34;N00035N;432232.268;4580875.611
35;N00036O;432246.627;4580879.333
36;N00037P;432261.094;4580883.41
37;N00038Q;432275.87;4580887.633
38;N00039R;432289.885;4580891.871
39;N00040K;432304.197;4580895.799
40;N00041L;432318.662;4580899.772
41;N00042M;432173.327;4580754.419
42;N00043N;432231.171;4580770.681
43;N00044O;432245.844;4580774.855
44;N00045P;432260.57;4580779.13
45;N00046Q;432274.28;4580783.426
46;N00047R;432281.665;4580814.829
47;N00048S;432290.117;4580839.136
48;N00049T;432302.65;4580868.956
49;N00050M;432309.947;4580884.43
50;N00051N;432339.869;4580933.061
51;N00053P;432330.259;4580911.541
52;N00054Q;432370.022;4581042.799
53;N00055R;432083.229;4581128.047
54;N00056S;432124.615;4581139.722
55;N00057T;432138.737;4581144.264
56;N00058U;432153.65;4581147.822
57;N00059V;432168.074;4581152.205
58;N00060O;432181.968;4581155.632
59;N00061P;432196.494;4581160.063
60;N00062Q;432211.007;4581163.885
61;N00063R;432241.023;4581172.213
62;N00064S;432269.305;4581180.021
63;N00065T;432283.691;4581183.75
64;N00066U;432298.147;4581187.318
65;N00067V;432312.461;4581191.347
66;N00068W;432327.438;4581195.464
67;N00069X;432341.342;4581199.349
68;N00070Q;432355.855;4581203.17
69;N00071R;432370.632;4581207.444
70;N00072S;432385.04;4581211.113
71;N00073T;432399.964;4581215.129
72;N00074U;432414.075;4581219.163
73;N00075V;432428.59;4581223.085
74;N00076W;432443.112;4581227.083
75;N00077X;432169.857;4581248.351
76;N00078Y;432185.388;4581252.777
77;N00079Z;432243.52;4581269.643
78;N00080S;432257.761;4581273.817
79;N00081T;432272.675;4581278.086
80;N00082U;432287.114;4581281.866
81;N00083V;432301.298;4581286.353
82;N00084W;432315.787;4581290.53
83;N00085X;432330.542;4581294.619
84;N00086Y;432345.136;4581298.115
85;N00087Z;432367.71;4581113.006
86;N00088A;432359.518;4581301.949
87;N00089B;432374.616;4581305.916
88;N00090U;432388.397;4581310.071
89;N00091V;432402.699;4581314.669
90;N00092W;432417.113;4581319.666
91;N00093X;432431.15;4581324.042
92;N00094Y;432444.458;4581327.87
93;N00097B;432380.887;4581117.05
94;N00098C;432439.956;4581133.636
95;N00099D;432388.649;4581144.214
96;N00101G;432417.509;4581152.741
97;N00102H;432109.043;4581195.171
98;N00103I;432123.325;4581199.057
99;N00104J;432137.572;4581203.505
100;N00105K;432151.961;4581207.593
101;N00106L;432166.455;4581211.78
102;N00107M;432180.894;4581215.815
103;N00108N;432195.145;4581220.416
104;N00109O;432160.411;4581340.576
105;N00112J;432032.443;4581303.968
106;N00113K;432073.871;4581314.406
107;N00114L;432088.266;4581318.697
108;N00115M;432102.934;4581323.642
109;N00116N;432117.694;4581328.28
110;N00117O;432132.384;4581332.207
111;N00118P;432147.086;4581336.591
112;N00119Q;432175.058;4581344.992
113;N00120J;432190.019;4581349.522
114;N00121K;432203.741;4581353.374
115;N00122L;432217.922;4581357.731
116;N00123M;432232.996;4581362.249
117;N00124N;432290.581;4581379.525
118;N00125O;432304.871;4581383.428
119;N00126P;432046.529;4581411.706
120;N00127Q;432061.034;4581416.299
121;N00128R;432075.224;4581420.545
122;N00129S;432090.278;4581424.768
123;N00130L;432104.069;4581429.279
124;N00131M;432118.639;4581432.548
125;N00132N;432133.189;4581436.727
126;N00133O;432147.685;4581441.061
127;N00134P;432161.459;4581445.024
128;N00135Q;432175.754;4581449.588
129;N00136R;432189.754;4581454.077
130;N00137S;432204.8;4581458.046
131;N00138T;432263.612;4581474.888
132;N00139U;432279.434;4581479.51
133;N00141O;432292.679;4581483.332
134;N00143Q;432319.857;4581387.91
135;N00146T;432057.598;4581479.579
136;N00147U;432087.306;4581488.289
137;N00148V;432115.886;4581496.623
138;N00149W;432144.505;4581504.549
139;N00150P;432174.002;4581512.959
140;N00151Q;432261.325;4581538.273
141;N00156V;432089.99;4581259.635
142;N00157W;432094.02;4581243.653
143;N00158X;432104.281;4581263.828
144;N00159Y;432118.625;4581268.12
145;N00160R;432122.908;4581252.081
146;N00161S;431619.831;4581412.716
147;N00162T;431653.647;4581463.489
148;N00163U;431709.483;4581549.993
149;N00165W;431707.713;4581428.755
150;N00166X;431762.158;4581514.635
151;N00170T;431654.373;4581578.043
152;N00171U;431668.951;4581608.62
153;N00172V;431691.351;4581643.464
154;N00173W;431749.289;4581606.151
155;N00174X;431800.621;4581575.458
156;N00175Y;431820.591;4581562.366
157;N00176Z;431782.045;4581501.742
158;N00177A;431835.934;4581551.888
159;N00178B;432009.651;4581400.954
160;N00179C;431909.913;4581503.873
161;N00183Y;432058.295;4581214.478
162;N00187C;432133.134;4581217.615
163;N00188D;432104.298;4581209.188
164;N00189E;432098.63;4581226.587
165;N00192Z;432546.184;4581356.674
166;N00195C;431403.78;4581185.678
167;N00196D;431441.85;4581249.119
168;N00197E;431478.673;4581307.797
169;N00198F;431504.43;4581352.861
170;N00199G;431538.322;4581406.172
171;N00200I;432457.875;4581230.86
172;N00203L;432479.793;4581215.412
173;N00205N;431600.146;4581377.332
174;N00206O;431566.013;4581323.11
175;N00207P;431535.612;4581272.444
176;N00208Q;431497.169;4581211.571
177;N00209R;431459.377;4581150.317
178;N00210K;431436.31;4581112.641
179;N00211L;431411.157;4581070.833
180;N00212M;431463.978;4581374.303
181;N00213N;431443.311;4581329.249
182;N00214O;431425.206;4581342.376
183;N00215P;431374.855;4581203.743
