FID;COORD_X;COORD_Y;LONGITUD;ANGLE;C_Tram;C_Nus_I;C_Nus_F;Distric_D;NDistric_D;Illa_D;CVia_D;TVia_D;NVia_D;Tram_Dret;Distric_E;NDistric_E;Illa_E;CVia_E;TVia_E;NVia_E;Tram_Esq
0;432128.893;4581047.606;42.615;15.04;T00001B;N00001D;N00002E;01;Ciutat Vella;10390;010900;Carrer;Carrer Pepe Rubianes;2;01;Ciutat Vella;10410;010900;Carrer;Carrer Pepe Rubianes;1
1;432156.649;4581054.946;14.806;14.2;T00002C;N00002E;N00003F;01;Ciutat Vella;10371;010900;Carrer;Carrer Pepe Rubianes;4 <=> 6;01;Ciutat Vella;10421;010900;Carrer;Carrer Pepe Rubianes;3 <=> 5
2;432171.171;4581059.2;15.48;18.4;T00003D;N00003F;N00004G;01;Ciutat Vella;10371;010900;Carrer;Carrer Pepe Rubianes;4 <=> 6;01;Ciutat Vella;10421;010900;Carrer;Carrer Pepe Rubianes;3 <=> 5
3;432185.863;4581063.068;14.969;10.98;T00004E;N00004G;N00005H;01;Ciutat Vella;10360;010900;Carrer;Carrer Pepe Rubianes;8 <=> 8 Z;01;Ciutat Vella;10441;010900;Carrer;Carrer Pepe Rubianes;7 <=> 9
4;432200.396;4581066.659;15.01;16.8;T00005F;N00005H;N00006I;01;Ciutat Vella;10350;010900;Carrer;Carrer Pepe Rubianes;10;01;Ciutat Vella;10441;010900;Carrer;Carrer Pepe Rubianes;7 <=> 9
5;432214.836;4581070.635;14.953;14;T00006G;N00006I;N00007J;01;Ciutat Vella;10331;010900;Carrer;Carrer Pepe Rubianes;12 <=> 14;01;Ciutat Vella;10461;010900;Carrer;Carrer Pepe Rubianes;11 <=> 13
6;432229.274;4581074.508;14.949;16;T00007H;N00007J;N00008K;01;Ciutat Vella;10331;010900;Carrer;Carrer Pepe Rubianes;12 <=> 14;01;Ciutat Vella;10461;010900;Carrer;Carrer Pepe Rubianes;11 <=> 13
7;432243.459;4581078.413;14.477;14.7;T00008I;N00008K;N00009L;01;Ciutat Vella;10320;010900;Carrer;Carrer Pepe Rubianes;16;01;Ciutat Vella;10480;010900;Carrer;Carrer Pepe Rubianes;15 - 17
8;432257.772;4581082.416;15.252;16.5;T00009J;N00009L;N00010E;01;Ciutat Vella;10310;010900;Carrer;Carrer Pepe Rubianes;18;01;Ciutat Vella;10480;010900;Carrer;Carrer Pepe Rubianes;15 - 17
9;432272.244;4581086.671;14.916;16.3;T00010C;N00010E;N00011F;01;Ciutat Vella;10300;010900;Carrer;Carrer Pepe Rubianes;20;01;Ciutat Vella;10490;010900;Carrer;Carrer Pepe Rubianes;19 - 21
10;432286.507;4581090.65;14.7;14.9;T00011D;N00011F;N00012G;01;Ciutat Vella;10290;010900;Carrer;Carrer Pepe Rubianes;22;01;Ciutat Vella;10490;010900;Carrer;Carrer Pepe Rubianes;19 - 21
