FID_x,FID_y,TOTAL_D,Rang,LONGITUD,Distric_D,TRANSIT_D
0,1,65,15,42.615,1,65 - 70 dB(A)
54,1,55,15,90.083,1,55 - 60 dB(A)
0,16,60,15,110.589,1,60 - 65 dB(A)
1,2,65,15,14.806,1,65 - 70 dB(A)
8189,2,60,15,17.552,1,60 - 65 dB(A)
1,17,55,15,110.105,1,55 - 60 dB(A)
16,17,60,10,43.172,1,60 - 65 dB(A)
2,3,65,15,15.48,1,65 - 70 dB(A)
56,3,55,10,89.695,1,55 - 60 dB(A)
2,8188,60,15,20.359,1,60 - 65 dB(A)
3,4,65,15,14.969,1,65 - 70 dB(A)
8190,4,60,15,18.448,1,60 - 65 dB(A)
3,19,55,10,109.868,1,55 - 60 dB(A)
18,19,55,10,15.319,1,55 - 60 dB(A)
4,5,65,15,15.01,1,65 - 70 dB(A)
58,5,55,10,90.506,1,55 - 60 dB(A)
4,8962,60,15,22.653,1,60 - 65 dB(A)
5,6,65,15,14.953,1,65 - 70 dB(A)
8191,6,60,15,17.891,1,60 - 65 dB(A)
5,21,55,10,108.524,1,55 - 60 dB(A)
20,21,50,10,15.334,1,50 - 55 dB(A)
6,7,65,15,14.949,1,65 - 70 dB(A)
60,7,55,10,90.945,1,55 - 60 dB(A)
6,8187,60,15,18.689,1,60 - 65 dB(A)
7,8,65,15,14.477,1,65 - 70 dB(A)
7,23,55,10,107.972,1,55 - 60 dB(A)
22,23,50,10,14.721,1,50 - 55 dB(A)
8,9,65,15,15.252,1,65 - 70 dB(A)
61,9,55,10,90.877,1,55 - 60 dB(A)
8,24,55,10,107.524,1,55 - 60 dB(A)
23,24,55,10,15.252,1,55 - 60 dB(A)
9,10,65,15,14.916,1,65 - 70 dB(A)
9,25,55,10,108.275,1,55 - 60 dB(A)
24,25,50,10,14.606,1,50 - 55 dB(A)
10,11,65,15,14.7,1,65 - 70 dB(A)
62,11,55,10,90.797,1,55 - 60 dB(A)
10,26,55,10,107.956,1,55 - 60 dB(A)
25,26,50,10,14.753,1,50 - 55 dB(A)
11,12,65,15,15.621,1,65 - 70 dB(A)
8192,12,60,15,18.058,1,60 - 65 dB(A)
11,27,55,10,107.886,1,55 - 60 dB(A)
26,27,50,10,14.987,1,50 - 55 dB(A)
12,13,65,15,14.458,1,65 - 70 dB(A)
64,13,55,10,89.997,1,55 - 60 dB(A)
12,8186,60,15,18.453,1,60 - 65 dB(A)
13,14,65,15,15.363,1,65 - 70 dB(A)
8193,14,60,15,19.491,1,60 - 65 dB(A)
13,29,55,10,103.602,1,55 - 60 dB(A)
28,29,50,10,17.754,1,50 - 55 dB(A)
14,15,65,15,14.725,1,65 - 70 dB(A)
66,15,60,10,90.167,1,60 - 65 dB(A)
14,30,55,10,95.193,1,55 - 60 dB(A)
29,30,45,10,15.528,1,45 - 50 dB(A)
16,31,60,15,83.528,1,60 - 65 dB(A)
17,18,55,10,14.705,1,55 - 60 dB(A)
8188,18,55,10,88.866,1,55 - 60 dB(A)
17,32,60,10,83.758,1,60 - 65 dB(A)
31,32,60,15,43.328,1,60 - 65 dB(A)
18,33,50,10,84.227,1,50 - 55 dB(A)
32,33,55,10,14.66,1,55 - 60 dB(A)
19,20,50,10,15.059,1,50 - 55 dB(A)
8962,20,50,10,85.73,1,50 - 55 dB(A)
19,34,50,10,83.773,1,50 - 55 dB(A)
33,34,55,10,15.413,1,55 - 60 dB(A)
20,35,50,10,84.342,1,50 - 55 dB(A)
34,35,55,10,14.834,1,55 - 60 dB(A)
21,22,50,10,14.61,1,50 - 55 dB(A)
8187,22,50,10,89.734,1,50 - 55 dB(A)
21,36,50,10,84.462,1,50 - 55 dB(A)
35,36,55,10,15.031,1,50 - 55 dB(A)
22,37,45,10,84.059,1,45 - 50 dB(A)
36,37,55,10,15.368,1,50 - 55 dB(A)
23,38,50,10,84.302,1,50 - 55 dB(A)
37,38,45,10,14.641,1,45 - 50 dB(A)
